投资金额及投资人,投资金额：1200万美元投资人：__及其关联基金
排他性,自本主要条款签字之日起30个自然日内（“排他期”），公司及创始人同意应当排他的与投资人合作。排他期内，未经投资人事先书面同意，公司及创始人不得发起，寻求，鼓励，讨论，协商或接受任何与公司，或创始人直接、间接设立实体融资有关的要约。尽管有上述约定，若投资人提供了任何过桥贷款，则上述排他期应根据过桥贷款协议约定的排他期执行。
其他惯常权利,各方同意，投资者的权利还包括其他惯常拥有的权利，包括但不限于进一步增资、清算优先权、优先认购权、优先购买和共同出售权、知情权、回购权、反稀释权、领售权、一票否决权等，具体将在最终交易文件中进一步约定。
投资额,投资人的投资金额分别为：(1) __150万美元；(2) __150万美元；(3) __50万美元（合称“投资款”）。投资完成后__新增持有开曼公司5.45%的股份，__新增持有开曼公司5.45%的股份（并将合计持有开曼公司34.76%的股份），__持有开曼公司1.82%的股份（并将合计持有开曼公司8.80%的股份）。投资人在本轮投资中所持有的开曼公司股份称为“投资人股份”。投资人的优先权利见附件一，公司及创始人应当尽其最大努力实现投资人在附件一中的优先权。本轮投资前后公司在完全摊薄基础上的股权结构见附件二。
估值,本轮投资公司的投资前估值为：2400万美元，投资后估值为：2750万美元。
可转换借款,__同意在交割同时向公司提供200万美元的可转换借款，借款期限为1年，年化利率8%（复利），具体条款如下：如果借款下放1年内发生下一轮融资且投前融资估值大于或等于8000万美元，则晨兴有权将借款本金部分按下一轮投前估值的7折转股；如果借款下放1年内发生下一轮融资且投前融资估值小于8000万美元，则晨兴有权将借款本金部分按下一轮投前估值的7.5折转股；如果借款下放1年内没有发生下一轮融资，且本轮投资（投资额合计350万美元）完成交割，则晨兴有权选择将借款本金根据投前融资估值2750万美元进行转股，或要求公司还本付息。
交割先决条件,投资人的出资系以满足下列条件为前提： 投资人完成法律、财务、商业等方面的尽职调查，且尽职调查结果令投资人满意；本轮投资已经以符合投资人要求的形式和内容获得全部所需的政府许可、批准或同意；已完成交割前重组（如适用）；与本轮投资相关的工商变更登记、备案均已完成；创始人已向投资人提供一份交割后18个月的公司预算；投资人、公司、创始人及其他相关方签订了正式的投资协议，且在投资协议签订后至投资款支付期间无任何重大不利变更；创始人和其他主要管理和技术人员已与公司签订了为期四（4）年的劳动合同，非竞争、保密协议和职务发明转让协议，前述人员在离职或转让公司股权后两（2）年内不能从事任何与公司竞争的业务或者唆使公司员工离职；投资人与公司做出的各项陈述与保证均真实、完整、无误导；投资人惯常要求的其他交割先决条件。
投资款用途,除取得投资人书面同意之外，本次投资款只能用于公司的主营业务发展和运营。
陈述与保证,创始人、公司在交易文件中做出通用的陈述与保证。
员工激励计划,在本轮投资交割前，预留7.79%的公司股权用于员工股权激励计划的实施。激励股权自授予日起分四年得权，每满一年得权四分之一。
董事会组成,公司的董事会由7位董事组成：创始人有权委派4位董事；__有权委派1位董事（__在本轮投资交割后有权委派1位董事，但在下一轮融资后，若__的持股比例低于7%的话，则丧失董事任命权）；__有权委派1位董事；__有权委派1位董事（__委派的董事、__委派的董事与__委派的董事合称“投资人董事”）。公司董事会下设的任何委员会均应包括投资人董事。为避免歧义，在下一轮融资后，若任一投资人的持股比例低于7%，则丧失董事任命权。
费用支付,各方同意，本轮投资相关各方项下的费用最多为3.5万美金，包括但不限于法律审慎调查、正式投资协议起草等费用，该费用按照下列原则支付：若投资人完成对公司投资的，上述费用由任一集团公司内的任意实体支付；若投资人非因合理理由终止本轮投资的，本条款项下的费用由投资人自担；若非因投资人的单方原因造成投资人未能完成本轮投资的，则费用由集团公司承担。
保密条款,本条款清单所提出的条款和条件，包括本条款清单的存在，均构成保密信息，除非应适用的法律要求或经投资人事先书面同意，不得向任何第三人透露。有权政府部门要求、基于本次投资的目的提供给有关中介机构，包括律师、会计师、资产评估师等除外。
排他期,本条款清单签订后的十五（15）天内，除非事先已得到投资人不再进行本轮投资的通知，否则创始人与公司将不得再与其他何投资人就本条款清单相关的主题进行任何投资谈判。
交割日,本次交易应在所有交割先决条件满足后的五（5）日内完成（“交割”）。
适用法律和仲裁条款,本条款清单应由香港法律管辖并根据其解释。任何本条款清单项下的争端应提交香港国际仲裁中心解决。
有约束力条款,除了费用支付、保密条款、排他期、适用法律和仲裁条款外，本条款清单的其余条款在正式投资法律文件签署之前不具有法律约束力。违反有约束力条款的一方应赔偿其他当事方因其违约所受到的损失。
有效期,如果创始人和公司未签署本条款清单并交付给投资人，其将于2017年12月18日18:30分失效。
协议文本,本条款清单一式陆（6）份，投资人各执壹（1）份，创始人与公司共执壹（1）份。
分红权,投资人在公司董事会宣布分红时有权优先于公司其他股东取得年息8%的优先分红。投资人取得全部优先分红后，有权与其他股东按各自持股比例参与分红。该8%的优先年息自投资人完成本轮投资交割之日起计算，为单利。
清算优先权,公司清算时，投资人有权优先于公司其他股东获得等值于其总投资额的120%的优先清算额，以及所有已宣布但未支付的股利及/或分红（“优先清算额”）。支付完优先清算额后的公司剩余资产将在各股东之间按各自持股比例进行分配。如上述安排未能顺利实施，则除投资人以外的其他公司股东应将其通过公司清算所获得的分配额不可撤销地支付或无偿转让予投资人，以使投资人收到优先清算额。为进一步明确，若(i) 公司发生并购重组或因其他原因导致其股东不再持有存续公司的多数表决权（“控制权变更事件”），或(ii) 公司全部或关键性资产的出售，均被视为公司发生清算，出售所得的分配应适用本条“清算优先权”条款。
要求回购权,在以下任一时点发生之后，投资人可根据届时的投资情况随时要求开曼公司以回购价格回购其所持的全部或部分股权（“要求回购股权”）：公司在交割后5年内未实现合格上市、未整体出售、未清算；公司及/或创始人对交易文件构成重大违约；公司控制架构发生任何重大不利影响。“回购价格”为以下两者取较高者：(i) 要求回购股权的初始购买价的120%，加上全部已宣布但未支付的股利及/或分红，再加上自本轮交割日到赎回日期间每年10%复利计算的固定回报；或 (ii) 要求回购股权的市场公允价值。
强制出售权,如果在合格上市之前，二分之一（1/2）以上代表A-3轮优先股表决权的投资人以及二分之一（1/2）以上代表普通股表决权的股东同意出售公司的全部或主要资产及/或股权，那么创始人应同意，并应促使其他股东同意按相同条件参与该出售。
保护性条款,下列事项需经公司股东会决议（且二分之一（1/2）以上代表优先股表决权的投资人须对该事项投赞成票）才能生效：对投资人的任何权利、优先权、特权或权力或为其利益所设的限制的任何改变；增加、减少集团公司的注册资本或发行、分派、购买或赎回任何股权、股份、可转换证券，或发行认股凭证、期权等任何可能导致将来发行新股或造成投资人在公司的股权、权益被摊薄的行为（但基于经公司董事会事先批准的员工期权计划发行的除外）；发行优先性优于或等于投资人股份的任何证券，发行公司的任何债券或股权性证券（但基于经事先批准的员工期权计划发行的除外）；公司股份的回购或赎回（根据公司章程中回购或赎回条款所做的回购或赎回除外）以及发行具有该等回购权或赎回权的股份；任何股票拆股、并股或股利、再分类或其他形式的公司资本重组；修改或废止公司章程中任何条款；改变公司主营业务；与公司有关的任何购并、兼并、出售、合并、合资、成立任何子公司或分公司等；公司任何债券或股权性证券的公开发行；公司的清算或解散；出售公司所有或基本所有资产、知识产权或商誉，或购买另一家实体的所有或基本所有资产或购并任何实体；变更董事会人数；转让公司任何股权、股份（投资人转股除外）。下列事项需经公司董事会决议通过（且投资人董事须对该事项投赞成票）才能生效：通过或修改员工期权计划（包括对其任何条款和条件的修改）；任何关联交易，但公平交易且事先书面向股东完全披露的除外；公司资产抵押或提供担保；宣布或支付股权/股份分红；决定公司高级管理人员的聘用条件和薪酬待遇，包括但不限于首席执行官、首席运营官、首席技术官和首席财务官等；任免公司审计师，决定审计费或其他费用；上调公司酬金最高的3名员工中的任何一人的薪酬；修改公司的会计政策或改变公司的会计年度；公司发生任何超过融资金额3%的债务或支出（无论是单笔或通过一系列相关的交易）；通过公司年度预算及工作指标。为本条款的目的，“公司”包括各集团公司或由公司实际控制的其他公司（如有）。
优先认购权与优先受让权,投资人根据其持股比例优先认购公司新增的注册资本或认购、购买新发行的股份以及优先受让公司其他股东转让的股权。
共同出售权,在其他股东出售或转让公司股权时，如投资人不行使优先受让权，则其有权但无义务与出售股东一起以同等条件按其各自持股比例出售其持有的股权。
获取信息权,公司/集团公司应向投资人提供：每一财务年度结束后90日内，经审计的年度合并财务报表，审计人应为令投资人满意的合格会计师事务所；每一财务季度结束后45日内，未经审计的季度合并财务报表；每月结束后30日内，未经审计的月度合并财务报表；每一财务年度结束前30日内，一份年度预算；及提交给该公司股东的所有文件或其他信息的复印件。所有该等财务报表均应按投资人同意的会计准则准备。另外，投资人代表有权对公司的财务账簿和其它经营记录进行查看核对，并在合理必要时，就公司经营访问其顾问、雇员、独立会计师及律师。
转股限制与分期得权,创始人股权自2016年6月6日起计算得权，于2017年12月8日，创始人所持有的全部股权中的37.5%为已得权股权。自本轮交割日起，创始人所持有的全部股权中的62.5%另行受限于48个月的得权限制，每满一个月，创始人持有的全部股权中的62.5%中的1/48得权。如创始人与公司的劳动合同因创始人主动离职或因创始人的过错而终止或解除，则投资方指定的其他主体以法律规定的最低价格受让创始人未得权的股权。在公司未完成合格上市的情况下，在未取得投资人事先书面同意的情况下，创始人不得出售、转让或以任何其他方式处置其在公司享有的任何股权。任何经投资人同意而受让公司股权的股东应当与创始人一样受限于本条规定的转股及锁定限制。为进一步明确，投资人有权以任何形式处分其持有的公司股权，不受任何限制。但是，投资人转让给竞争对手清单中的主体需要创始人股东同意，竞争对手清单的确定和修订须经董事会决议通过（包括全体投资人董事的同意）。若公司发生合格上市或者清算事件，创始人持有的股权全部加速得权。
合格上市,创始人及集团公司应在本轮投资交割后尽全部努力以实现公司的合格上市。依据上市发行价，公司在合格上市完成后的整体估值应不低于5亿元美金或等值人民币，融资金额应当不低于5000万元美金或等值人民币（“合格上市”）。
反稀释条款,在本轮投资完成后，如出现公司未来安排的私募股权融资的价格（“新的投资价格”）低于本轮投资价格，则投资人有权根据具体投资情况进行反稀释调整：将投资人股份的兑换价格按完全棘轮（on a full ratchet basis）的计算方式进行调整，使得投资人对公司的投资成本不高于新的投资价格。在发生公司股份拆股、股票分红、股本重组或其他类似情况时，投资人股份有权按相应的比例进行数量上的调整，以防止被稀释。
级别,除非经投资人事先书面同意，投资人的权利不得为次级的，即应在所有时间至少等同于赋予所有其他现有股东的权利。
兑换权,投资人有权自行决定在其认购优先股的交易完成日后的任何时间将其优先股兑换为公司普通股，最初的兑换比例为1:1。
自动兑换,所有投资人的优先股将在以下情况下自动转换为普通股：(i)开曼公司完成合格上市，或(ii)持有1/2以上投资人股份的投资人批准。
投票表决权,每一股优先股所具有的表决权与其可兑换的相应数量的普通股具有相同表决权。优先股原则上与普通股共同进行投票表决，而非作为单独类别分开投票表决，但涉及“保护性条款”的事项或法律另行规定除外。
登记权,三次要求登记权，无限制次数的共同登记权和S-3或F-3表格登记权，所有费用由集团公司承担。要求登记权在合格上市之后或优先股发行后5年起生效。
被投资方,目标公司为__（“目标公司”）。__系目标公司实际控制人（“实际控制人”），实际控制人与其团队（合成“创始团队”）（包括ESOP）共称为控股股东。公司指__，以及实际控制人直接或间接控股、控制的中国境内外特殊目的公司、关联公司、下属机构及其他主体，其中包括但不限于__，合称为“公司”。
投资方,__（有限合伙）（“投资者”）
估值与融资,公司本轮完全摊薄的融资前估值是1.25亿人民币，投资者向公司投资1500万人民币，投资者持股10.71%。本轮融资必须完全用于【投资研发，市场拓展和运营费用】。
交割条件,本轮投资者认可的未来12个月公司的营业计划和预算；
投票权,投资者及现有股东按照其持股比例享有股东投票权。但投资者将根据投资协议和股东协议的约定，对公司的重大事项有否决权。
股票期权计划,本轮投资之前，公司应当已经确定并完成建立员工激励计划并预留股份，员工激励计划增加预留股份占本轮投资前总股份的14.84%。
反稀释条款,本轮投资完成后，如公司发行任何新的股票或股权类证券，发行价格低于本次投资价格，公司应将本轮投资的价格按广义加权平均的方式进行调整。（员工激励的情况除外）
优先购买权和共同出售权,在公司上市前，如果实际控制人拟向第三方转让其直接或间接持有的目标公司股权，应提前30日书面通知投资者。经投资者同意转让的股权，投资者有权与原投资方拥有同等的权利选择：(1)按照同样的价格和条件，按照其相对持股比例，购买全部或部分拟出售的股权；或(2)按照同样的价格和条件，与转让方按照相对持股比例共同向第三方出售其持有的目标公司股权。
回赎权,如果公司未能在交割后内完成首次公开发行或实现被收购或出现如下事项之一，投资者有权优先于其他股东要求公司赎回其持有的全部股权。每一股赎回价格为该股本轮认购价格（包括未分配股息在内）加上每年8%的单利（“赎回价格”）：(1)投资者发现投资前/后公司、创始团队提供之相关资料/信息与实际发生重大偏差或公司、创始团队在信息披露过程中存在隐瞒、误导、虚假陈述或涉嫌欺诈；(2)公司、创始团队违反双方签订的协议；(3)公司、创始团队在本协议中做出的承诺或者声明与保证存在不真实、不准确或违反的情形；(4)公司出现投资者不知情的帐外收入或借款；如公司在投资者提出回购要求的当年不能全部履行回购义务，则投资者有权要求公司将未分配利润全部用于分红，且公司将放弃今后享有的可分配利润并补偿给投资者，直至全部履行回购义务。
清算优先权,若发生清算事件，本轮投资者应优先于其他股东每一股获得该股认购价格（包括未分配股息在内）的【1】倍（“优先额”）。在优先额得到全面偿付之后，公司的全部剩余资产按照之前一轮次融资规定的顺序派发给全体股东。如果因为任何原因导致上述安排未能顺利实施，现有股东同意将其应得的分配额不可撤销地无偿转让予投资者，使投资者能收到如实施上述安排所应收到的数额。在支付给全部投资者清算优先权回报，本轮投资者取得优先额之后公司资产仍有剩余的或本轮投资者依据本轮优先清算并收取优先额之后，本轮投资者有权继续按照各自持股比例继续分配公司剩余资产。“清算事件”应包括公司进入清算程序、终止经营或解散、公司转让大部分资产或业务、出让公司控股权，公司的重大违约事件及其他清算事件。
信息知情权,公司应向本轮投资者提供公司的月度、季度财务报告和，年度结束之后的【90】天内应提供经营报告和经本轮投资者认可的会计师事务所审计确认无误的合并财务报表。每个年度开始的【30】天以前提供经董事会批准的公司年度预算和经营计划。本轮投资者作为股东，有权检查公司和附属公司的设施、账目和记录。
披露限制,除事先获得投资者的书面许可，否则公司或创建人或实际控制人不得以任何形式向除本框架协议之外的第三方披露任何本协议的内容，包括不限于不得在任何宣传、促销、新闻发布、网站、公告、客户名单、营销/推销材料、案例分析、广告或其他向媒体披露或以任何方式提及拟定交易中的信息，且不得公开使用投资者的名称、商标或标识。若各方一致同意对外披露公司本轮融资，公司或创建人或实际控制人在任何情况之下均不得故意隐匿或遗漏投资者或其关联方的名称及信息。
惯有权利,投资者享有优先认购权、优先受让权及其他类似的风险投资交易中惯有的权利。
平等待遇条款,若公司在本轮融资中给予任何其它投资人比本投资框架协议下规定的更加优惠的条款（"更优惠条款"）,则投资者有权享受同等优惠条款。
不竞争条款,除已向投资者披露的情况外，目标公司的实际控制人及其关联方在公司上市前不得以任何方式直接或间接参与任何与目标公司从事的业务存在同业竞争的业务或活动。实际控制人应当与公司签订劳动合同，实际控制人承诺（A）在公司上市完成或投资者持有的公司股权或优先股被回购前（以较早发生者为准）且其在职期间，要将所有的精力和工作时间花在开拓和经营公司业务上，而不得参与任何其他业务（无论是否与公司业务相竞争），（B）公司上市完成或投资者持有的公司股权或优先股被回购前（以较早发生者为准）且其在职期间或离职后2年内，不得与公司或其任何子公司的业务竞争或拉拢公司员工、客户。
排他性,自本协议签署之日起的【30】天为排他期间。 在排他期间内，创建人、公司及其股东、董事会成员和高管、关联公司在未获得本轮投资者书面同意的情况下，不得通过直接或间接方式为公司及其关联公司寻求股权/债务融资（正常银行商业贷款除外，但是需要立即向本轮投资者提供有关的贷款和担保协议），或提供与融资有关信息，或参与相关的谈判和讨论以及签署相关的协议。在排他期内，创始团队和公司应尽其最大努力协助投资者进行尽职调查。
交易费用,投资完成或由于公司、创始团队方面原因导致投资没有完成（包括提供的信息不真实或遗漏重要信息），公司应支付本轮投资者为进行本次投资聘请的外部会计师和律师等专业机构所产生的审计、尽职调查和法律文件制作等费用（“融资费用”）。如非公司、创始团队方面原因导致投资没有完成，本轮投资者自行承担融资费用。以上费用最高额度不超过15万元。
保密性,本框架协议的存在、条款和内容、各方履行本框架协议情况均属保密信息，不得向任何第三方透露。但公司和本轮投资者有权向各自的控股股东、合伙人、董事和高管、会计师、法律顾问和其他专业顾问披露有关信息，披露的信息不应超过执行相关业务需要的范围，且获知信息的个人或者机构应承担保密信息的义务。
免责,在法律许可的最大范围内，公司应使股东、高管、董事等主体根据公司适用的法律为按照公司作为或不作为的要求行事而免于受到任何损失、追索、索赔、责任（连带的或分别的）或为此作出补偿。
约束力及责任,除了“排他期间”、“保密”、“融资费用”、“适用法律和争议解决”外，本协议的其他各项条款不具有法律约束力。
适用法律及争议解决,本投资条款清单适用中国人民共和国法律。由于本投资条款清单所引起或相关的争议应提交上海国际仲裁中心根据当时有效的仲裁规则解决。仲裁裁决是终局的，并对各方具有约束力。
投资结构,投资人以现金方式直接向公司增资扩股
公司,__（该公司与创始股东全部或部分、直接或间接持股或控制的境内外公司、实体及其他主体合称为 “公司”）
原股东/创始股东,公司原有股东名单如下，其中【】为创始股东名称持股比例
本轮投资人,__或其指定的关联基金（简称“__”），__及相关基金（简称“__”），双方合称“投资人”。
估值及投资金额,增资：__以投后3个亿估值向公司投资4500万元，取得公司15%的股权，增资后，洪泰总共持有公司15%的股权。__以投后3个亿估值向公司投资1500万元，取得公司5%的股权，增资后，__总共持有公司5%的股权。增资完成后，公司总估值为RMB￥【30,000万】。
创始人股权限制,创始股东持有的股权将在交割之日起4年内解锁完毕，每年确权25%的股权。创始股东如果未能服务满4年而离开公司，其未解锁部分的股权将被公司期权持股平台无偿收回，已解锁部分的股权将会被公司期权持股平台根据公司董事会（含投资人董事）确定的价格购买。但如因严重损害公司利益的行为而离开或参与、加入公司竞争对手，则无论是否已经解除限制，均将被公司期权持股平台无偿购买。离开的创始股东为ESOP代持的股权将转为由其他创始股东代持。在公司IPO或出售之前，创始股东和持股1%以上的员工不得以任何方式转让或处置其所持有的任何公司股权，或在其持有的公司股权上设置权利负担，除非该行为已经得到投资人的同意。创始人及关键员工在任职/持股期间及之后2年内承担不竞争、不拉拢义务。
利润分配,在未经投资人同意的情况下不得分配利润。
投资资金的使用,本次投资资金将按照计划用于下列投资项目：a)人力成本b)市场推广c)内容版权采购资金投向如发生调整，应获得本轮投资完成后投资人董事的书面同意
上市,公司承诺尽力在【2023】年【12】月【31】日前完成合格首次公开发行。
公司董事会,投资完成后，新的公司董事会（“董事会”）将由【7】位董事组成，其中__委派【1】位，创始股东委派【4】位。
知情权,公司需向投资人及投资人之董事提供监督公司经营进程所需要的所有信息，包括但不限于：在每一财务年度结束后的90天内提供审计后的年度合并财务报表。在每个季度结束后的60天内提供未经审计的合并财务报表。在每个财务年度结束前的30天前提供下一年度合并预算。每一新财年开始前30天内提供公司新的年度收入和资本预算计划。给予投资者查阅公司财务报表、接触公司管理层的权利。所有的审计都要根据中国会计准则，由一家投资人认可的合格的会计师事务所执行。
优先购买权和共售权,如果创始股东向第三方出售其所持有的股份，则投资人有权1）以同等价格和条件按其在公司的持股比例优先购买全部或者部分拟转让的股权；或者2）以同等价格和条件，与创始股东按其各自在公司的相对持股比例，共同向拟受让人出售其相应的部分股权。
反稀释,如果公司按照低于本轮认购单价的认购价格进行增资，则投资人在公司持有的股权比例将按照全棘轮方式进行调整。
优先认购权,在公司进行增资时，投资人有权按照同等条件和价格按其在公司的持股比例优先对公司进行增资。
优先清算权,如果公司发生清算、解散或结束营业、或公司的全部股权或资产（包括知识产权）被整体出售或处置，公司控制权转移等事件时，则在创始股东或任何其他股东获得分配之前，投资人就其持有的股权，有权获得以下分配金额：投资人原始投资金额加上每年【10%】的单利，以及所有应付未付股利，并有权按照持股比例参与剩余财产的分配。
回购权,下列情况下，投资人有权要求公司按照年利率【10%】的单利赎回投资人持有的全部或部分股份：1）公司未能如约完成合格首次公开发行；2）公司或创始股东出现重大违约行为；3）创始股东或管理层出现个人诚信问题；4）其他在正式交易文件中双方一致约定可能使投资人或公司利益受到损失的情形。
否决权,投资人及其委派董事应当享有惯常的重大事项否决权。
现有优惠条款,公司了解投资人在出具本备忘录时并未对公司进行任何法律、财务和业务的尽职调查，也无机会审阅公司之前的融资文件。如果公司任何现有股东享有某些优先权利或更为优惠的条款，该等优先权利或更为优惠的条款应自动并入本备忘录，被投资人所享有。
陈述保证和交割条件,在最终投资协议中，公司和创始股东应当向投资人做出常规的陈述和保证。本次投资交割前需要满足此类投资惯常的交割条件。
排他性条款,本备忘录一经签署，除__书面同意外，公司应保证给予投资人【45】天的排他期。公司、创始股东、公司关键员工及其代表在排他期内不能够与其它投资方进行类似的沟通、谈判以及签署任何类型的书面约定，也不得进行与公司业务相近的其他公司的设立和经营活动。
效力和管辖,本备忘录适用中国法律。双方同意将与本意向书的订立、解释或执行相关的任何争议提交中国国际经济与贸易仲裁委员会依照其届时有效的仲裁规则在北京通过仲裁方式解决。本备忘录替代之前所有各方达成的口头协议。除保密约定、排他期约定、费用约定及本“效力和管辖”条款以外的其它条款，不具备法律约束力。
费用,如本次投资完成或非因投资人原因导致本次增资未能交割，公司同意承担投资人在本意向书执行过程中以及因后续尽职调查、正式文件的起草、谈判、签署和交割等所产生的与本次投资相关的费用，但上述由公司承担的费用不应超过【30】万元人民币（不含税），税点应另行由公司承担。如因投资人单方面的原因导致本次增资未能交割，由投资人承担上述费用。
保密,各方应对本意向书的签署、履行及所有条款、所含信息均严格保密，除非需要依照政府的合法要求进行披露，但是其须在披露前10日或更早通知签署本意向书的其他各方。尽管如此，__为融资需要可以向特定主体进行披露。
定义及释义,“投资方”指__或其指定的关联主体；“创始人”指；“核心成员”指；“高级管理人员”指：总经理、副总经理、财务经理、核心技术人员以及其各方共同认定的其他关键管理人员的合称。
标的股权,__或其指定的关联主体（以下简称“投资方”）拟出资【2000】万元对__增资，获得其增资后 【】%的股权。
投资前估值,【1.3】亿元。
增资资金用途,全部增资资金只能用于__的运营与发展（主要是指修改量表、注册报证，完善销售渠道等的运营，对软件系统和云服务平台的技术研发等），变更用途需经投资方的事先书面同意。该笔资金不能用于偿还或解决公司为其股东、管理层或任何其他个人因任何原因与上述各方发生的债务。
投资先决条件,除本意向书其它要求以外，投资方应当在以下先决条件满足的情况下向公司支付投资款人民币2000万元：1、公司应根据投资方投资的要求及时提供所有的信息与文件，且应当保证所提供的信息与文件的真实性、准确性、完整性及时效性；2、公司所提供的专利和在研主要产品，拥有自主独立的知识产权，不存在任何潜在及或有的争议和纠纷；3、投资方完成了商业、法律与财务方面的尽职调查，达到了投资方投资的要求；4、投资方内部权力机构批准；5、__股东会批准；6、__的创始人和实际控制人股东签署相关保证函：包括但不限于竞业禁止条款、避免竞争条款、及限制出售等条款；且完成一致行动人协议的签署；7、__高级管理人员均已按照投资方满意的形式和内容订立了三年以上劳动合同，保密协议，竞业禁止条款；8、小懂科技已经签署与空天发展公司签署相关资产转让协议和知识产权转让协议，并根据协议有权对空天发展公司的全部资产和知识产权进行收购。在收到投资方投资款后三十（30）个工作日内，公司应当完成投资方本次投资相关的工商登记。
优先认购权,如果__决定发行新的股权（按合格IPO方式发行的股权除外），投资方均有权以第一顺位按给予其他潜在投资者的同等条件购买按其比例配售的股权（以完全稀释和以转换为基础计算其占注册资本的比例）。如果某一股权持有人选择放弃购买按其比例可享有的优先购买份额，其他持有人则可以选择购买或获得该持有人放弃的部分。
限制出售权,__的创始人在投资方成为股东后有权合计出售、转让或处理其在公司直接持有的7%的股权，超过前述比例的任何对应直接持有股权的出售、转让或处理，应当得到投资方的事先书面同意或用于公司内部股权激励的需要。__的创始人对其股权的其他任何处理形式，包括增加股权负担或以其股权为第三方设立权利，都应视为前述股东出售或转让其所占公司的股权。对此股权，其他任一持有人均有权依上述条款享有优先购买权。上述权利在完成合格的IPO后终止。
共同出售权,若__创始人和其他股东向第三方提议出售其全部或一部分股权，投资方有权以和拟受让方为购买股权而提出的同等条件等比例地出售投资方持有的股权。上述权利在完成合格的IPO后终止。
拖售权,各方同意，自本次投资完成后满五（5）年之日起，若公司和/或投资方收到善意第三方提出按照本次投资后公司估值（即【1.5】亿元人民币）的10倍价格购买公司的股权或权益，则投资方有权要求创始人团队接受该等交易，创始人团队应配合签署所有必要文件、采取所有必要措施完成收购。不同意前述第三方收购的创始人团队成员应以同等收购价格和条件购买同意前述收购的股东届时所持有的公司股权，并为此签署所有必要文件，采取所有必要措施完成股权转让。该项权利在公司完成合格的IPO后终止。
